"","condition","ID","cov_distance","aa","pa","IDnum","ms","d"
"1","W","03Slzy0g",5.44207003289979,-2.04297467831793e-10,1.55932981409462,1,6168,8.72123844416605
"25","W","03Slzy0g",5.44207003289979,0.02327105648896,0.744842829830599,1,566,8.72123844416604
"40","W","03Slzy0g",5.44207003289979,0.0116355281423313,0.244515110925557,1,1033,8.72123844416604
"45","W","03Slzy0g",5.44207003289979,0.0116355281423313,0.128159827459269,1,867,8.72123844416604
"90","W","03Slzy0g",5.44207003289979,0.302523736808051,1.14045079361598,1,649,8.72123844416604
"133","W","03Slzy0g",5.44207003289979,0.442150076967599,1.75713379598731,1,736,8.72123844416604
"171","W","03Slzy0g",5.44207003289979,0.663225115553547,3.11849061254288,1,2967,8.72123844416604
"209","W","03Slzy0g",5.44207003289979,1.1286462494187,2.54834972355806,1,799,8.72123844416604
"236","W","03Slzy0g",5.44207003289979,1.33808575965802,1.96657330622662,1,500,8.72123844416604
"251","W","03Slzy0g",5.44207003289979,1.33808575965802,1.66404956921426,1,933,8.72123844416604
"259","W","03Slzy0g",5.44207003289979,1.33808575965802,1.87348907945358,1,949,8.72123844416604
"268","W","03Slzy0g",5.44207003289979,1.38462787304453,1.66404956921426,1,717,8.72123844416604
"286","W","03Slzy0g",5.44207003289979,2.28056355573496,1.78040485268055,1,833,8.72123844416605
"308","W","03Slzy0g",5.44207003289979,2.28056355573496,2.32727468497211,1,1066,8.72123844416604
"309","W","03Slzy0g",5.44207003289979,2.28056355573496,2.31563915662548,1,1350,8.72123844416604
"370","W","03Slzy0g",5.44207003289979,2.57145176440067,0.931011283376645,1,1050,8.72123844416605
"395","W","03Slzy0g",5.44207003289979,-2.81579786008849,0.896104698336758,1,1465,8.72123844416604
"426","W","03Slzy0g",5.44207003289979,-1.89659112070481,0.97755339676316,1,1072,8.72123844416604
"455","W","03Slzy0g",5.44207003289979,-1.76860030889189,0.989188925109789,1,1133,8.72123844416604
"484","W","03Slzy0g",5.44207003289979,-0.0232710568975607,0.803020471563727,1,801,8.72123844416604
"494","W","03Slzy0g",5.44207003289979,-0.0232710568975603,1.11717973692271,1,2450,8.72123844416604
"495","W","03Slzy0g",5.44207003289979,-0.0232710568975603,1.11717973692271,1,500,8.28517652195774
"497","W","03Slzy0g",5.44207003289979,-0.0232710568975603,1.11717973692271,1,700,7.47737181106686
"521","W","03Slzy0g",5.44207003289979,0.267617151768162,0.291057224312057,1,2317,7.47737181106686
"548","W","03Slzy0g",5.44207003289979,0.395607963581079,0.00016901564634011,1,2633,7.47737181106686
"552","W","03Slzy0g",5.44207003289979,0.395607963581079,0.000169015646423276,1,1418,6.09036607368778
"553","W","03Slzy0g",5.44207003289979,0.395607963581079,0.0001690156457664,1,2350,5.78584777000339
"554","W","03Slzy0g",5.44207003289979,0.395607963581079,0.0001690156457664,1,966,6.09036607368777
"575","W","03Slzy0g",5.44207003289979,0.232710566728276,0.779749414869232,1,1132,6.09036607368778
"605","W","03Slzy0g",5.44207003289979,0.232710566728276,1.47788111566697,1,766,6.09036607368778
"615","W","03Slzy0g",5.44207003289979,0.255981623421533,1.28007713377427,1,2283,6.09036607368778
"661","W","03Slzy0g",5.44207003289979,0.570140888780513,1.6524140408664,1,1050,6.09036607368779
"671","W","03Slzy0g",5.44207003289979,0.663225115553543,1.30334819046753,1,533,6.09036607368779
"686","W","03Slzy0g",5.44207003289979,0.639954058860285,1.64077851251977,1,3102,6.09036607368779
"721","W","03Slzy0g",5.44207003289979,0.639954058860285,1.64077851251977,1,1150,6.15711167378798
"726","W","03Slzy0g",5.44207003289979,0.639954058860285,1.64077851251977,1,1135,4.79855712096627
"772","W","03Slzy0g",5.44207003289979,-0.0465421135908153,2.02475094795853,1,734,4.28612784066991
"793","W","03Slzy0g",5.44207003289979,0.0116355281423295,1.59423639913326,1,6416,4.66288326233105
"822","W","03Slzy0g",5.44207003289979,0.558505360433886,1.93166672118549,1,767,4.52765554581758
"840","W","03Slzy0g",5.44207003289979,1.16355283445859,1.92003119283886,1,550,4.68645672416969
"868","W","03Slzy0g",5.44207003289979,1.17518836280522,1.80367590937258,1,1950,4.79022240528873
"916","W","03Slzy0g",5.44207003289979,1.75696478013666,2.52507866686357,1,1584,4.23657699685812
"954","W","03Slzy0g",5.44207003289979,1.41953445808023,2.52490865117401,1,817,4.21188228973948
"967","W","03Slzy0g",5.44207003289979,1.41953445808023,2.52490865117401,1,533,6.95277530534419
"970","W","03Slzy0g",5.44207003289979,1.41953445808023,2.52490865117401,1,800,7.3443784509556
"989","W","03Slzy0g",5.44207003289979,1.2450015328798,3.14159165358979,1,1567,7.01928759847335
"1026","W","03Slzy0g",5.44207003289979,1.3264502313062,2.43182442440098,1,1233,7.40469664927817
"1070","W","057d8Z6W",5.67348993531678,-1.52658110622912,0.228225087169761,2,1808,8.72123844416605
"1071","W","057d8Z6W",5.67348993531678,-1.59174013598787,0.125832579754685,2,1790,8.72123844416605
"1761","W","057d8Z6W",5.67348993531678,-0.856374779989737,1.91304944972637,2,656,10.1279462541866
"1829","W","057d8Z6W",5.67348993531678,-0.847066499347688,3.0114432546305,2,603,5.87190085018123
"2342","W","057d8Z6W",5.67348993531678,-0.0558505717769149,1.46624523223345,2,1619,9.65869327071274
"2344","W","057d8Z6W",5.67348993531678,-0.0558505717769149,1.46624523223345,2,9345,8.7653657386753
"2346","W","0FkbYvgu",6.2225719102837,-2.04297467831793e-10,1.55932981409462,3,1634,8.72123844416605
"2381","W","0FkbYvgu",6.2225719102837,2.52490965101416,1.75713379598731,3,519,8.72123844416605
"2451","W","0FkbYvgu",6.2225719102837,-0.221075038790247,0.861198113296888,3,502,7.10350322051352
"2549","W","0FkbYvgu",6.2225719102837,1.31481470296476,1.68732062590754,3,573,5.49655538150322
"2624","W","0FkbYvgu",6.2225719102837,0.325794793501311,1.28007713377553,3,552,4.2505707149218
"2678","W","0FkbYvgu",6.2225719102837,0.325794793501311,1.28007713377553,3,1806,4.5609061629949
"2680","W","0FkbYvgu",6.2225719102837,0.325794793501311,1.28007713377553,3,502,4.1685491700772
"2753","W","0FkbYvgu",6.2225719102837,-0.186168453750358,1.7105916826008,3,719,2.89296003076623
"2779","W","0FkbYvgu",6.2225719102837,-0.186168453750357,1.7105916826008,3,518,3.40326501942092
"2823","W","0FkbYvgu",6.2225719102837,-0.186168453750357,1.7105916826008,3,536,2.96197564328252
"3045","W","0FkbYvgu",6.2225719102837,-1.86168453563837,2.3271066692592,3,502,4.50647899264998
"3135","W","0FkbYvgu",6.2225719102837,-1.04719755137435,2.82743438816424,3,518,4.29332125297316
